Company Name,Industry,Symbol,Series,ISIN Code
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01013
GAIL (India) Ltd.,ENERGY,GAIL,EQ,INE129A01019
General Insurance Corporation of India,FINANCIAL SERVICES,GICRE,EQ,INE481Y01014
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,EQ,INE102D01028
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01026
HDFC Standard Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014
Havells India Ltd.,CONSUMER GOODS,HAVELLS,EQ,INE176B01034
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020
Hindustan Petroleum Corporation Ltd.,ENERGY,HINDPETRO,EQ,INE094A01015
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027
Hindustan Zinc Ltd.,METALS,HINDZINC,EQ,INE267A01025
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036
I T C Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI,EQ,INE765G01017
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI,EQ,INE726G01019
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,EQ,INE148I01020
Indian Oil Corporation Ltd.,ENERGY,IOC,EQ,INE242A01010
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012
Infosys Ltd.,IT,INFY,EQ,INE009A01021
InterGlobe Aviation Ltd.,SERVICES,INDIGO,EQ,INE646L01027
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01038
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028
L&T Finance Holdings Ltd.,FINANCIAL SERVICES,L&TFH,EQ,INE498L01015
LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,EQ,INE115A01026
Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030
Lupin Ltd.,PHARMA,LUPIN,EQ,INE326A01037
MRF Ltd.,AUTOMOBILE,MRF,EQ,INE883A01011
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,EQ,INE101A01026
Marico Ltd.,CONSUMER GOODS,MARICO,EQ,INE196A01026
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010
Motherson Sumi Systems Ltd.,AUTOMOBILE,MOTHERSUMI,EQ,INE775A01035
NHPC Ltd.,ENERGY,NHPC,EQ,INE848E01016
NMDC Ltd.,METALS,NMDC,EQ,INE584A01023
NTPC Ltd.,ENERGY,NTPC,EQ,INE733E01010
Oil & Natural Gas Corporation Ltd.,ENERGY,ONGC,EQ,INE213A01029
Oil India Ltd.,ENERGY,OIL,EQ,INE274J01014
Oracle Financial Services Software Ltd.,IT,OFSS,EQ,INE881D01027
Petronet LNG Ltd.,ENERGY,PETRONET,EQ,INE347G01014
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026
Piramal Enterprises Ltd.,PHARMA,PEL,EQ,INE140A01024
Power Grid Corporation of India Ltd.,ENERGY,POWERGRID,EQ,INE752E01010
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,EQ,INE179A01014
Reliance Industries Ltd.,ENERGY,RELIANCE,EQ,INE002A01018
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,EQ,INE123W01016
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,EQ,INE721A01013
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,EQ,INE003A01024
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036
Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,SUNTV,EQ,INE424H01027
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
Tata Motors Ltd DVR,AUTOMOBILE,TATAMTRDVR,EQ,IN9155A01020
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036
The New India Assurance Company Ltd.,FINANCIAL SERVICES,NIACL,EQ,INE470Y01017
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N,EQ,INE854D01024
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025
Vodafone Idea Ltd.,TELECOM,IDEA,EQ,INE669E01016
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01027
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028
